,CountyName,StateName,dem_to_rep_ratio,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym
822,San Juan,UT,0.7720226840000001,,2.0,1.0,2,1,2.0
823,Wayne,GA,0.25033729899999996,5.0,2.0,2.0,2,1,3.0
824,Marion,AL,0.12701791699999998,5.0,3.0,1.0,2,1,5.0
825,Randolph,GA,1.257277734,5.0,2.0,2.0,2,1,3.0
826,Ben Hill,GA,0.561914951,5.0,2.0,2.0,2,1,3.0
827,Scott,MS,0.697157792,5.0,4.0,4.0,3,4,4.0
828,Mercer,WV,0.270282694,4.0,4.0,4.0,2,4,4.0
829,Walton,FL,0.26696692,5.0,2.0,2.0,2,1,3.0
830,Lycoming,PA,0.365453168,5.0,4.0,4.0,2,1,2.0
831,Covington,AL,0.179920103,5.0,3.0,1.0,2,1,5.0
832,Monroe,MI,0.620951897,4.0,4.0,4.0,2,1,2.0
833,Graves,KY,0.261068582,5.0,5.0,5.0,2,1,2.0
834,Hale,AL,1.504884967,5.0,3.0,1.0,2,1,5.0
835,Oconee,SC,0.330796592,5.0,2.0,2.0,2,1,5.0
836,Houston,AL,0.34704504,5.0,3.0,1.0,2,1,5.0
837,Hampton,SC,1.4822247709999998,5.0,2.0,2.0,2,1,5.0
838,Petersburg City,VA,8.284631289,5.0,4.0,4.0,2,4,2.0
839,Little River,AR,0.387517337,,5.0,5.0,2,1,3.0
840,Navarro,TX,0.333666833,5.0,3.0,1.0,4,1,3.0
841,Lea,NM,0.31452581,4.0,2.0,2.0,2,1,2.0
842,Ontario,NY,0.854162665,3.0,2.0,1.0,2,1,2.0
843,Susquehanna,PA,0.397409045,5.0,4.0,4.0,2,1,2.0
844,Sampson,NC,0.7108100820000001,5.0,4.0,1.0,2,1,4.0
845,Calvert,MD,0.6962484720000001,5.0,2.0,1.0,2,1,2.0
846,Fulton,NY,0.48254345600000004,3.0,2.0,1.0,2,1,2.0
847,Olmsted,MN,1.0168218009999999,5.0,5.0,5.0,2,1,2.0
848,Cass,MO,0.44854674,4.0,3.0,3.0,3,1,5.0
849,Autauga,AL,0.32665639399999996,5.0,3.0,1.0,2,1,5.0
850,Wilson,TX,0.342191742,5.0,3.0,1.0,4,1,3.0
851,Champaign,IL,1.502547351,3.0,2.0,2.0,2,1,2.0
852,Effingham,GA,0.271511693,5.0,2.0,2.0,2,1,3.0
853,Fannin,GA,0.19964701,5.0,2.0,2.0,2,1,3.0
854,Shelby,TX,0.244880903,5.0,3.0,1.0,4,1,3.0
855,Shasta,CA,0.43070416,3.0,3.0,3.0,3,1,1.0
856,Henderson,TX,0.239704017,5.0,3.0,1.0,4,1,3.0
857,Hampton City,VA,2.30767512,5.0,4.0,4.0,2,4,2.0
858,Saline,AR,0.369628865,,5.0,5.0,2,1,3.0
859,Waupaca,WI,0.521341652,4.0,2.0,2.0,2,1,2.0
860,Colbert,AL,0.436641586,5.0,3.0,1.0,2,1,5.0
861,Monroe,IL,0.43827698200000004,3.0,2.0,2.0,2,1,2.0
862,Hillsdale,MI,0.340475346,4.0,4.0,4.0,2,1,2.0
863,Putnam,OH,0.1953078,4.0,1.0,1.0,2,1,3.0
864,Adams,PA,0.45250294399999996,5.0,4.0,4.0,2,1,2.0
865,Walthall,MS,0.687869822,5.0,4.0,4.0,3,4,4.0
866,De Soto,FL,0.5578341689999999,5.0,2.0,2.0,2,1,3.0
867,Newton,MS,0.420891875,5.0,4.0,4.0,3,4,4.0
868,Kendall,IL,0.996915188,3.0,2.0,2.0,2,1,2.0
